image,C2 bottom left_x,C2 bottom left_y,C2 bottom right_x,C2 bottom right_y,C2 centroid_x,C2 centroid_y,C3 bottom left_x,C3 bottom left_y,C3 bottom right_x,C3 bottom right_y,C3 top left_x,C3 top left_y,C3 top right_x,C3 top right_y,C4 bottom left_x,C4 bottom left_y,C4 bottom right_x,C4 bottom right_y,C4 top left_x,C4 top left_y,C4 top right_x,C4 top right_y,C5 bottom left_x,C5 bottom left_y,C5 bottom right_x,C5 bottom right_y,C5 top left_x,C5 top left_y,C5 top right_x,C5 top right_y,C6 bottom left_x,C6 bottom left_y,C6 bottom right_x,C6 bottom right_y,C6 top left_x,C6 top left_y,C6 top right_x,C6 top right_y,C7 bottom left_x,C7 bottom left_y,C7 bottom right_x,C7 bottom right_y,C7 top left_x,C7 top left_y,C7 top right_x,C7 top right_y
0001035.png,260.17159763313606,344.86982248520707,327.62721893491124,318.8343195266272,287.86131386861314,273.7226277372263,260.16483516483515,443.95054945054943,343.95604395604397,419.77472527472526,266.07142857142856,364.2857142857143,328.57142857142856,337.0824175824176,264.2857142857143,532.1373626373626,346.97802197802196,510.9835164835165,264.010989010989,467.0274725274725,343.4065934065934,435.70879120879124,272.5274725274725,612.0824175824175,348.35164835164835,589.554945054945,272.5274725274725,548.6208791208791,344.7802197802198,525.2692307692307,289.010989010989,696.6978021978022,362.6373626373626,675.543956043956,278.021978021978,632.4120879120878,348.35164835164835,606.0384615384614,322.301775147929,791.6153846153845,395.08284023668637,769.7218934911242,298.35164835164835,721.1483516483515,363.7362637362637,689.554945054945
0002035.png,227.2460317460317,314.33333333333337,310.57936507936506,288.93650793650795,269.43231441048033,246.2882096069869,236.24454148471617,411.353711790393,319.1328125,381.19531250000006,236.7393162393162,338.4615384615385,303.83333333333337,310.6837606837607,259.1503267973856,504.85620915032683,329.4117647058823,465.967320261438,242.5703125,439.78906250000006,311.1111111111111,399.6274509803922,276.7271062271062,585.1208791208791,355.29853479853483,553.6190476190476,266.6666666666667,520.5424836601308,328.5078125,487.05468750000006,288.7584269662922,664.8483146067416,373.4296875,637.4453125,278.36516853932585,599.6797752808989,357.8046875,571.8203125,307.5915032679739,748.3660130718954,388.63725490196083,733.9869281045751,291.8483146067416,682.5449438202247,369.65730337078656,654.7359550561798
0003035.png,191.46031746031747,389.7301587301588,261.3015873015873,385.7619047619048,238.5922746781116,323.59656652360513,173.38129496402877,482.0143884892086,244.20202020202026,476.2020202020202,185.37339055793993,408.14592274678114,252.72340425531917,406.3829787234042,165.91928251121075,578.8699551569506,238.37638376383765,569.2841328413284,169.78417266187049,505.7553956834532,239.22988505747125,495.94252873563215,177.3834586466166,685.6992481203007,251.06766917293237,665.0225563909773,167.23308270676696,612.015037593985,240.66666666666669,591.6060606060606,193.54887218045116,777.0526315789473,265.72932330827075,751.4887218045112,181.1428571428572,712.390977443609,251.2727272727273,684.030303030303,225.58730158730162,877.8253968253969,300.98412698412704,842.1111111111112,202.5714285714286,807.5037593984962,270.969696969697,770.3939393939394
0004035.png,218.49606299212599,369.96062992125985,278.3385826771654,361.29921259842524,252.60416666666669,310.4166666666667,221.68992248062014,471.27906976744185,287.1937984496124,456.16279069767444,217.81395348837208,392.984496124031,275.1782945736434,376.3178294573643,235.25581395348837,575.5426356589147,307.3488372093023,548.7984496124031,224.7906976744186,496.86046511627904,286.8062015503876,470.1162790697674,246.88372093023256,661.2015503875969,322.4651162790698,642.2093023255813,239.13178294573643,597.2480620155038,312.0,570.5038759689922,254.24806201550388,743.7596899224806,332.15503875968994,730.1937984496124,248.82170542635657,680.5813953488372,323.62790697674416,663.1395348837209,268.1023622047244,834.5275590551181,338.1811023622047,821.9291338582677,256.5736434108527,765.077519379845,333.70542635658916,746.4728682170543
0005035.png,382.8503937007875,339.25196850393706,452.9291338582678,352.6377952755906,444.2528735632184,299.42528735632186,350.7042253521127,422.887323943662,419.3661971830986,436.6197183098592,370.6896551724138,362.64367816091954,442.5287356321839,367.81609195402297,328.5211267605634,517.2535211267606,398.59154929577466,522.1830985915493,344.0140845070423,452.81690140845075,410.04891304347825,455.13586956521743,320.07042253521126,607.0422535211268,392.6056338028169,604.9295774647887,327.81690140845075,546.830985915493,393.20108695652175,536.6576086956521,325.3521126760564,705.9859154929578,402.46478873239437,688.3802816901409,323.59154929577466,642.9577464788732,390.2857142857143,620.7714285714285,358.44094488188983,810.1181102362204,434.0314960629922,777.0472440944882,334.50704225352115,739.0845070422536,408.6857142857143,702.5999999999999
0006035.png,216.04794520547946,398.49315068493144,285.65748031496065,372.32283464566933,247.3181818181818,328.939393939394,231.81840796019898,477.1144278606965,304.455223880597,452.2388059701492,223.85820895522386,418.9054726368159,289.84250764525996,388.0275229357798,257.1915422885572,555.7213930348258,322.36567164179104,528.8557213930347,240.27611940298505,498.5074626865671,307.9378109452736,471.14427860696514,272.11691542288554,623.8805970149253,340.27611940298505,606.4676616915423,264.6542288557214,574.6268656716418,328.0363825363825,549.4802494802494,283.06218905472633,701.9900497512436,355.69900497512435,687.5621890547263,279.57960199004975,645.7711442786069,346.33160083160084,626.1954261954261,306.91732283464574,797.5196850393701,376.99606299212604,773.8976377952756,290.52487562189054,728.3582089552237,362.9636174636175,706.2370062370062
0007035.png,218.7123287671233,401.8904109589041,289.61904761904765,374.6507936507937,250.53658536585363,329.5772357723577,234.5824175824176,480.1758241758242,306.010989010989,456.0,223.5934065934066,424.13186813186815,292.26415094339626,392.2264150943396,256.5604395604396,558.7472527472528,325.24175824175825,531.8241758241759,240.62637362637363,502.7032967032967,308.11320754716985,474.30188679245276,273.0439560439561,627.4285714285714,341.72527472527474,610.3956043956044,267.54945054945057,578.5274725274726,328.49056603773585,552.2264150943396,284.03296703296706,704.901098901099,357.1098901098901,690.0659340659341,281.2857142857143,651.054945054945,346.6037735849057,630.7169811320755,308.6666666666667,802.4285714285716,380.09523809523813,775.4444444444446,292.8241758241758,730.1758241758242,363.0188679245283,708.0754716981132
0008035.png,238.27272727272728,359.8484848484848,310.24242424242425,360.60606060606057,287.80487804878044,301.2073170731707,234.14634146341461,457.30487804878044,307.92682926829264,451.2073170731707,234.14634146341461,390.23170731707313,308.3491461100569,378.53700189753323,235.97560975609755,553.6463414634146,312.80487804878044,543.280487804878,235.97560975609755,484.74390243902434,308.7286527514231,473.98292220113854,245.73170731707316,644.5,327.4390243902439,631.0853658536585,244.5121951219512,582.3048780487804,313.27272727272725,562.8787878787879,263.4146341463414,742.060975609756,339.0243902439024,720.7195121951219,256.0975609756097,670.7195121951219,326.7552182163188,651.022770398482,304.939393939394,842.4242424242424,376.1515151515151,803.7878787878788,277.4390243902439,770.1097560975609,345.12195121951214,740.8414634146341
0009035.png,183.15079365079362,325.6507936507937,260.92857142857144,323.2698412698413,235.23170731707322,265.8414634146341,176.0853658536586,424.3780487804878,254.74390243902442,412.79268292682923,184.01219512195127,353.6463414634146,251.69512195121956,341.4512195121951,174.86585365853665,518.890243902439,262.06097560975616,503.6463414634146,179.74390243902445,451.2073170731707,256.5,428.0,174.25609756097566,607.9146341463414,268.1585365853659,592.060975609756,179.13414634146346,552.4268292682926,261.0,522.5,183.4024390243903,695.7195121951219,275.4756097560976,676.8170731707316,179.13414634146346,637.7926829268292,268.0,609.0,219.65873015873012,804.2222222222223,302.19841269841265,773.2698412698413,193.1585365853659,734.7439024390244,278.5,699.0
0010035.png,225.16666666666663,318.5833333333333,288.5,291.9166666666667,247.6439790575916,250.26178010471202,246.59685863874344,405.7591623036649,309.94764397905755,383.76963350785337,231.93717277486908,341.36125654450257,293.22222222222223,305.88235294117646,260.2094240837696,493.717277486911,328.2722513089005,469.109947643979,252.35602094240835,430.89005235602093,315.880174291939,397.60348583878,278.5340314136125,574.3455497382198,347.6439790575916,557.5916230366491,267.5392670157068,517.2774869109948,331.78431372549016,486.2745098039216,292.6701570680628,659.6858638743455,363.87434554973817,644.5026178010471,286.748031496063,593.7007874015748,350.73856209150324,569.281045751634,321.83333333333337,760.25,391.83333333333337,735.25,302.5904139433551,685.8387799564271,367.85039370078744,662.2047244094488
