image,label
0002035.png,0002035.npy
0003035.png,0003035.npy
0004035.png,0004035.npy
0005035.png,0005035.npy
0006035.png,0006035.npy
0008035.png,0008035.npy
0009035.png,0009035.npy
0010035.png,0010035.npy
0011036.png,0011036.npy
0012036.png,0012036.npy
0013036.png,0013036.npy
0014036.png,0014036.npy
0016036.png,0016036.npy
0017036.png,0017036.npy
0018037.png,0018037.npy
0019037.png,0019037.npy
0020037.png,0020037.npy
0021037.png,0021037.npy
0022037.png,0022037.npy
0023037.png,0023037.npy
0024037.png,0024037.npy
0025037.png,0025037.npy
0027038.png,0027038.npy
0028038.png,0028038.npy
0029038.png,0029038.npy
0030038.png,0030038.npy
0034038.png,0034038.npy
0035038.png,0035038.npy
0036039.png,0036039.npy
0037039.png,0037039.npy
0038039.png,0038039.npy
0039039.png,0039039.npy
0040039.png,0040039.npy
0041039.png,0041039.npy
0042039.png,0042039.npy
0043039.png,0043039.npy
0044039.png,0044039.npy
0046040.png,0046040.npy
0047040.png,0047040.npy
0048040.png,0048040.npy
0050040.png,0050040.npy
0051040.png,0051040.npy
0052041.png,0052041.npy
0054041.png,0054041.npy
0055041.png,0055041.npy
0056041.png,0056041.npy
0058042.png,0058042.npy
0060042.png,0060042.npy
0061042.png,0061042.npy
0062042.png,0062042.npy
0063043.png,0063043.npy
0065043.png,0065043.npy
0066043.png,0066043.npy
0067043.png,0067043.npy
0068043.png,0068043.npy
0069043.png,0069043.npy
0070043.png,0070043.npy
0071043.png,0071043.npy
0072043.png,0072043.npy
0073044.png,0073044.npy
0075044.png,0075044.npy
0078045.png,0078045.npy
0079045.png,0079045.npy
0080046.png,0080046.npy
0082046.png,0082046.npy
0083047.png,0083047.npy
0084047.png,0084047.npy
0085047.png,0085047.npy
0086048.png,0086048.npy
0087048.png,0087048.npy
0088048.png,0088048.npy
0089049.png,0089049.npy
0090050.png,0090050.npy
0091050.png,0091050.npy
0092050.png,0092050.npy
0094051.png,0094051.npy
0095051.png,0095051.npy
0096052.png,0096052.npy
0097053.png,0097053.npy
0098053.png,0098053.npy
0099053.png,0099053.npy
0100053.png,0100053.npy
0101120.png,0101120.npy
0102120.png,0102120.npy
0105121.png,0105121.npy
0106121.png,0106121.npy
0107122.png,0107122.npy
0108122.png,0108122.npy
0110122.png,0110122.npy
0111122.png,0111122.npy
0115123.png,0115123.npy
0116123.png,0116123.npy
0117123.png,0117123.npy
0118123.png,0118123.npy
0119123.png,0119123.npy
0120124.png,0120124.npy
0121124.png,0121124.npy
0123124.png,0123124.npy
0124124.png,0124124.npy
0126124.png,0126124.npy
